+-------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| Mod name                      | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                                    | Exists | Ore Dict keys                                              |
+-------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| Aether Legacy                 | aether_legacy:aercloud                                       |    1918 |     true |    7164 |         0 | Cold Aercloud                                                   | true   |                                                            |
| Aether Legacy                 | aether_legacy:aercloud                                       |    1918 |     true |    7164 |         1 | Blue Aercloud                                                   | true   |                                                            |
| Aether Legacy                 | aether_legacy:aercloud                                       |    1918 |     true |    7164 |         2 | Golden Aercloud                                                 | true   |                                                            |
| Aether Legacy                 | aether_legacy:aerogel                                        |    1928 |    false |    7174 |         0 | Aerogel                                                         | true   |                                                            |
| Aether Legacy                 | aether_legacy:aerogel_double_slab                            |    1976 |    false |    7222 |         0 | Aerogel Double Slab                                             | true   |                                                            |
| Aether Legacy                 | aether_legacy:aerogel_slab                                   |    1984 |    false |    7230 |         0 | Aerogel Slab                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:aerogel_stairs                                 |    1968 |    false |    7214 |         0 | Aerogel Stairs                                                  | true   |                                                            |
| Aether Legacy                 | aether_legacy:aerogel_wall                                   |    1960 |    false |    7206 |         0 | Aerogel Wall                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:aether_dirt                                    |    1914 |    false |    7160 |         0 | Aether Dirt                                                     | true   |                                                            |
| Aether Legacy                 | aether_legacy:aether_grass                                   |    1912 |    false |    7158 |         0 | Aether Grass                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:aether_leaves                                  |    1924 |     true |    7170 |         0 | Skyroot Leaves                                                  | true   | treeLeaves                                                 |
| Aether Legacy                 | aether_legacy:aether_leaves                                  |    1924 |     true |    7170 |         1 | Golden Oak Leaves                                               | true   | treeLeaves                                                 |
| Aether Legacy                 | aether_legacy:aether_log                                     |    1925 |     true |    7171 |         0 | Skyroot Log                                                     | true   | logWood                                                    |
| Aether Legacy                 | aether_legacy:aether_log                                     |    1925 |     true |    7171 |         1 | Golden Oak Log                                                  | true   | logWood                                                    |
| Aether Legacy                 | aether_legacy:aether_portal                                  |    1939 |    false |    7185 |         0 | Aether Portal                                                   | true   |                                                            |
| Aether Legacy                 | aether_legacy:ambrosium_ore                                  |    1921 |    false |    7167 |         0 | Ambrosium Ore                                                   | true   | oreAmbrosium                                               |
| Aether Legacy                 | aether_legacy:ambrosium_torch                                |    1940 |    false |    7186 |         0 | Ambrosium Torch                                                 | true   | torch                                                      |
| Aether Legacy                 | aether_legacy:angelic_double_slab                            |    1971 |    false |    7217 |         0 | Angelic Double Slab                                             | true   |                                                            |
| Aether Legacy                 | aether_legacy:angelic_slab                                   |    1979 |    false |    7225 |         0 | Angelic Slab                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:angelic_stairs                                 |    1962 |    false |    7208 |         0 | Angelic Stairs                                                  | true   |                                                            |
| Aether Legacy                 | aether_legacy:angelic_wall                                   |    1955 |    false |    7201 |         0 | Angelic Wall                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:berry_bush                                     |    1931 |    false |    7177 |         0 | Berry Bush                                                      | true   |                                                            |
| Aether Legacy                 | aether_legacy:berry_bush_stem                                |    1932 |    false |    7178 |         0 | Berry Bush Stem                                                 | true   |                                                            |
| Aether Legacy                 | aether_legacy:carved_double_slab                             |    1970 |    false |    7216 |         0 | Carved Double Slab                                              | true   |                                                            |
| Aether Legacy                 | aether_legacy:carved_slab                                    |    1978 |    false |    7224 |         0 | Carved Slab                                                     | true   |                                                            |
| Aether Legacy                 | aether_legacy:carved_stairs                                  |    1961 |    false |    7207 |         0 | Carved Stairs                                                   | true   |                                                            |
| Aether Legacy                 | aether_legacy:carved_wall                                    |    1954 |    false |    7200 |         0 | Carved Wall                                                     | true   |                                                            |
| Aether Legacy                 | aether_legacy:chest_mimic                                    |    1941 |    false |    7187 |         0 | Chest Mimic                                                     | true   | chest,chestMimic                                           |
| Aether Legacy                 | aether_legacy:crystal_leaves                                 |    1947 |     true |    7193 |         0 | Crystal Leaves                                                  | true   | treeLeaves                                                 |
| Aether Legacy                 | aether_legacy:crystal_leaves                                 |    1947 |     true |    7193 |         1 | Crystal Fruit Leaves                                            | true   | treeLeaves                                                 |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         0 | Carved Stone                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         1 | Sentry Stone                                                    | true   |                                                            |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         2 | Angelic Stone                                                   | true   |                                                            |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         3 | Light Angelic Stone                                             | true   |                                                            |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         4 | Hellfire Stone                                                  | true   |                                                            |
| Aether Legacy                 | aether_legacy:dungeon_block                                  |    1936 |     true |    7182 |         5 | Light Hellfire Stone                                            | true   |                                                            |
